Date,Price
02/01/13,145.5
03/01/13,150.75
04/01/13,150.25
07/01/13,149.5
08/01/13,152
09/01/13,151.13
10/01/13,150.06
11/01/13,149.25
14/01/13,150.44
15/01/13,150.17
16/01/13,149.13
17/01/13,148.83
18/01/13,149.25
21/01/13,149.62
22/01/13,150.06
23/01/13,150.75
24/01/13,151
25/01/13,150.5
28/01/13,150.38
29/01/13,150.25
30/01/13,150.56
31/01/13,150.49
01/02/13,154
04/02/13,155.5
05/02/13,155.17
06/02/13,156.31
07/02/13,157.19
11/02/13,158
12/02/13,158
13/02/13,158.5
14/02/13,157.75
15/02/13,156.5
18/02/13,156.31
19/02/13,155.69
20/02/13,155.44
21/02/13,154.5
22/02/13,154.62
25/02/13,155
26/02/13,155
27/02/13,154.75
28/02/13,154.64
01/03/13,148
04/03/13,142.42
05/03/13,142.75
06/03/13,144.06
07/03/13,144.94
08/03/13,144.67
11/03/13,142.83
12/03/13,141.67
13/03/13,140.06
14/03/13,138.5
15/03/13,139.58
18/03/13,139.42
19/03/13,139.5
20/03/13,139.5
21/03/13,139.92
22/03/13,140.69
25/03/13,140.69
26/03/13,140.38
27/03/13,140
28/03/13,139.87
01/04/13,133.5
02/04/13,136.31
03/04/13,136.62
04/04/13,137.17
05/04/13,137.37
08/04/13,138.08
09/04/13,138.17
10/04/13,139.31
11/04/13,139.92
12/04/13,139.94
15/04/13,139
16/04/13,138.33
17/04/13,138
18/04/13,137.33
19/04/13,138
22/04/13,137.75
23/04/13,137.25
24/04/13,137
25/04/13,136.69
26/04/13,136.92
29/04/13,136.81
30/04/13,137.39
01/05/13,129.5
02/05/13,127.69
03/05/13,127.25
06/05/13,128.83
07/05/13,130.56
08/05/13,131
09/05/13,130.92
10/05/13,130.38
13/05/13,129.38
14/05/13,128
15/05/13,127.19
16/05/13,127.08
17/05/13,126.5
20/05/13,126.62
21/05/13,127.12
22/05/13,127
23/05/13,126.06
24/05/13,126.08
27/05/13,126.08
28/05/13,125.33
29/05/13,124.63
30/05/13,124.9
31/05/13,124.01
03/06/13,116.58
04/06/13,118.56
05/06/13,115.25
06/06/13,111
07/06/13,111.67
10/06/13,112.94
11/06/13,112.63
12/06/13,112.5
13/06/13,112.38
14/06/13,114.19
17/06/13,115.91
18/06/13,116.33
19/06/13,116.5
20/06/13,115.75
21/06/13,115.5
24/06/13,115
25/06/13,114.68
26/06/13,114.82
27/06/13,115
28/06/13,114.82
01/07/13,116.75
02/07/13,119
03/07/13,120.31
04/07/13,123.08
05/07/13,120.88
08/07/13,121.19
09/07/13,122.06
10/07/13,123.06
11/07/13,125.06
12/07/13,126.33
15/07/13,126.5
16/07/13,126.08
17/07/13,127.17
18/07/13,127.44
19/07/13,127.25
22/07/13,126.5
23/07/13,126.5
24/07/13,126.81
25/07/13,126.67
26/07/13,126.67
29/07/13,126.67
30/07/13,126.79
31/07/13,127.19
01/08/13,127.12
02/08/13,128.81
05/08/13,129.5
06/08/13,132.31
07/08/13,133.37
08/08/13,134.42
09/08/13,135.25
12/08/13,137.75
13/08/13,138.67
14/08/13,136.17
15/08/13,135.17
16/08/13,136.25
19/08/13,136.08
20/08/13,135.88
21/08/13,136
22/08/13,135.94
23/08/13,137.37
26/08/13,137.08
27/08/13,136.94
28/08/13,136.97
29/08/13,136.94
30/08/13,137.06
02/09/13,135.81
03/09/13,134.63
04/09/13,135.06
05/09/13,133.19
06/09/13,132.75
09/09/13,134.69
10/09/13,133.69
11/09/13,134.58
12/09/13,134.5
13/09/13,134.08
16/09/13,133.42
17/09/13,133.69
18/09/13,133.81
19/09/13,134.25
20/09/13,134.31
23/09/13,134.31
24/09/13,134.25
25/09/13,134.25
26/09/13,134.25
27/09/13,134.25
30/09/13,134.19
01/10/13,129.75
02/10/13,128.81
03/10/13,129.25
04/10/13,129.37
07/10/13,129.58
08/10/13,129.75
09/10/13,130.16
10/10/13,131.31
11/10/13,132.06
14/10/13,132.75
15/10/13,132.75
16/10/13,132.5
17/10/13,132.83
18/10/13,132.87
21/10/13,132.31
22/10/13,132.44
23/10/13,132.17
24/10/13,132.22
25/10/13,132.37
28/10/13,132.5
29/10/13,132.58
30/10/13,132.5
31/10/13,132.57
01/11/13,133.5
04/11/13,134.08
05/11/13,134.69
06/11/13,135.37
07/11/13,134.81
08/11/13,134.87
11/11/13,134.56
12/11/13,135.5
13/11/13,135.19
14/11/13,135.37
15/11/13,135.25
18/11/13,135.08
19/11/13,135.42
20/11/13,135.69
21/11/13,135.81
22/11/13,136.12
25/11/13,136.19
26/11/13,136.25
27/11/13,136.25
28/11/13,136.25
29/11/13,136.32
02/12/13,136.17
03/12/13,137.31
04/12/13,138.37
05/12/13,138
06/12/13,137.83
09/12/13,138.67
10/12/13,138.17
11/12/13,137.56
12/12/13,136.38
13/12/13,136.44
16/12/13,136.83
17/12/13,135.94
18/12/13,136
19/12/13,135.88
20/12/13,135.92
23/12/13,135.56
24/12/13,135.25
26/12/13,135.5
27/12/13,135.75
30/12/13,135.63
31/12/13,135.79
02/01/14,133.38
03/01/14,132.38
06/01/14,131.63
07/01/14,131.44
08/01/14,131.31
09/01/14,129.75
10/01/14,129.75
13/01/14,129.33
14/01/14,130.25
15/01/14,129.83
16/01/14,128.67
17/01/14,127.58
20/01/14,127.17
21/01/14,127.31
22/01/14,128.25
23/01/14,128.42
24/01/14,128.08
27/01/14,128
28/01/14,128.25
29/01/14,128.25
30/01/14,128.12
03/02/14,122.38
04/02/14,122.44
05/02/14,122
06/02/14,122
07/02/14,120.5
10/02/14,120.58
11/02/14,120.25
12/02/14,121
13/02/14,122.92
14/02/14,123.06
17/02/14,123.75
18/02/14,122.63
19/02/14,122.83
20/02/14,122.38
21/02/14,122.25
24/02/14,121.38
25/02/14,121.25
26/02/14,121.31
27/02/14,121.42
28/02/14,121.37
03/03/14,115
04/03/14,114.58
05/03/14,115.44
06/03/14,115.06
07/03/14,112.75
10/03/14,107.17
